-12.688 -67.954 1027.728 -10.492 -66.612 1025.410 -6.710 -62.342 1030.290 -9.760 -64.294 1028.460 -14.274 -66.978 1024.556 -15.860 -69.296 1023.458 -20.130 -69.784 1022.360 -21.350 -70.272 1022.604 -13.664 -66.246 1029.314 -9.028 -65.392 1024.434 -4.880 -64.904 1024.068 -7.076 -67.344 1017.480 -15.616 -71.980 1011.014 -14.274 -73.566 1010.648 -13.908 -73.200 1020.530 -8.296 -72.468 1026.020 -13.054 -75.152 1037.122 -17.812 -74.908 1035.536 -15.250 -73.810 1037.244 -3.172 -68.198 1034.194 -11.834 -68.808 1029.314 -11.468 -73.444 1023.946 -14.640 -74.908 1034.072 -17.812 -76.250 1025.532 -16.104 -72.712 1024.678 -5.856 -68.320 1023.458 -2.562 -64.172 1030.290 -1.952 -66.368 1016.260 -10.614 -70.272 1020.408 -11.346 -72.590 1016.016 -9.638 -71.614 1011.380 -8.174 -74.054 1018.700
-20.252 -82.472 1033.950 -5.490 -75.152 1040.050 -3.172 -74.786 1030.778 -1.342 -77.226 1021.018 1.464 -76.372 1035.902 -6.344 -80.520 1024.922 -23.058 -82.228 1017.480 -24.034 -78.202 1016.138 -12.078 -71.492 1021.872 1.586 -65.148 1021.140 3.782 -63.440 1025.288 7.320 -61.732 1035.536 -5.490 -72.712 1029.558 -5.856 -73.932 1024.312 -5.978 -75.884 1026.996 -3.172 -78.934 1008.574 -7.076 -82.106 1034.194 -9.272 -85.888 1026.020 -4.148 -81.984 1033.706 2.684 -76.250 1031.388 5.612 -73.932 1022.238 -1.952 -76.006 1029.192 -9.150 -80.276 1025.288 -15.738 -84.058 1023.824 -6.954 -76.860 1026.142 -0.976 -72.712 1031.144 0.244 -71.980 1029.192 4.148 -72.468 1023.702 1.952 -74.298 1032.364 -0.488 -81.008 1020.164 -4.880 -83.814 1024.678 -5.002 -88.084 1019.920
-5.734 -91.256 1033.096 -6.466 -86.376 1028.704 1.952 -81.862 1020.164 11.224 -74.420 1025.654 3.050 -79.178 1028.948 -2.318 -82.838 1031.144 -10.858 -85.644 1024.434 -14.640 -86.620 1018.944 -7.686 -81.496 1024.922 -0.610 -79.178 1022.848 8.784 -74.298 1027.362 4.026 -76.738 1029.924 -5.856 -85.278 1023.092 -8.418 -85.766 1028.704 -3.050 -86.620 1021.262 3.660 -83.204 1018.456 3.904 -83.082 1016.016 3.294 -86.498 1020.774 0.488 -88.328 1028.094 -0.366 -88.450 1028.094 7.808 -84.302 1028.216 -3.538 -87.962 1033.096 -1.952 -86.498 1025.532 -8.174 -90.768 1030.534 -14.518 -91.500 1031.632 -15.372 -90.524 1018.334 -1.830 -83.082 1025.288 5.124 -80.154 1036.634 1.708 -80.276 1031.144 -4.270 -81.008 1031.022 -4.636 -81.984 1021.872 -5.612 -81.130 1015.650
6.832 -80.032 1018.456 0.976 -83.204 1020.774 0.732 -79.910 1039.562 -8.540 -88.206 1047.004 -19.398 -95.526 1038.586 -25.132 -98.576 1043.954 -32.452 -102.846 1028.704 -35.258 -104.066 1015.528 -33.672 -100.040 1007.720 -27.938 -93.818 1008.696 -20.862 -90.280 1003.938 -12.932 -81.862 1015.162 -7.076 -77.226 1007.232 -10.858 -79.422 992.104 -4.148 -79.422 992.836 9.394 -74.786 1003.206 1.464 -77.714 1019.432 -5.124 -83.326 1029.802 -4.880 -87.840 1048.102 -9.028 -89.670 1055.300 -0.488 -87.840 1048.712 22.814 -79.910 1019.920 39.406 -71.980 992.836 37.454 -70.272 1006.134 16.836 -84.302 997.106 -1.342 -87.108 1007.720 -5.368 -87.352 1042.978 3.904 -86.742 1062.620 14.396 -83.814 1071.282 25.132 -76.494 1078.236 25.498 -74.298 1051.884 21.228 -71.248 1026.874
35.868 -58.682 1031.388 23.424 -65.026 1037.610 20.130 -62.952 1034.804 21.838 -58.072 1040.172 27.328 -59.536 1032.974 31.720 -58.560 1034.926 29.402 -61.610 1020.652 17.568 -67.588 1006.134 8.906 -71.126 1008.818 -3.904 -73.322 1011.258 -3.782 -70.760 1027.606 2.806 -68.808 1044.076 10.004 -64.782 1052.860 -1.952 -69.052 1045.540 -11.834 -71.736 1040.294 -6.344 -64.538 1036.512 -24.766 -73.932 1047.736 -9.028 -60.512 1092.510 11.346 -48.800 1073.356 -8.906 -39.772 1060.424 -34.404 -43.920 1049.444 -39.650 -42.822 1031.022 -40.992 -37.454 1012.966 -45.384 -33.184 983.686 -47.580 -32.818 948.062 -46.238 -33.428 918.050 -24.888 -39.528 884.012 -5.368 -25.132 960.262 12.688 -38.918 945.012 20.008 -40.626 977.708 17.812 -42.944 1009.672 20.008 -51.118 1007.354
15.006 -68.808 1055.788 15.372 -73.688 1063.474 13.420 -77.470 1064.694 20.374 -86.376 1068.354 -0.976 -116.632 1087.386 -60.634 -161.406 1131.550 -10.736 -142.740 1122.034 -23.424 -136.152 1091.534 -1.464 -110.410 1059.204 40.138 -78.934 1054.690 58.316 -61.732 1020.408 70.882 -45.140 1001.864 66.856 -35.014 992.470 66.002 -26.840 977.830 73.078 -13.298 969.534 88.938 -2.196 962.824 96.624 2.806 957.700 93.208 -0.244 960.872 79.666 -10.126 969.656 67.466 -19.276 989.908 66.246 -31.842 1019.676 50.508 -49.898 1057.496 42.212 -64.660 1080.920 38.430 -75.884 1093.242 42.456 -78.080 1088.850 54.046 -79.056 1075.796 51.362 -79.544 1071.526 56.974 -80.032 1050.908 64.172 -74.420 1045.418 74.054 -71.614 1016.992 69.296 -71.858 998.082 67.100 -71.736 976.000
64.172 -79.178 994.910 56.974 -82.472 1002.718 55.876 -78.812 1020.408 61.610 -72.834 1039.440 61.244 -67.466 1056.764 57.706 -69.662 1070.672 57.096 -66.856 1082.506 47.702 -71.980 1077.260 41.846 -71.614 1071.160 49.898 -65.758 1060.302 51.728 -64.172 1044.564 69.052 -61.000 1001.864 79.666 -54.778 972.828 80.886 -56.364 939.400 76.616 -65.758 936.838 66.246 -69.540 961.726 71.126 -77.836 963.800 66.368 -79.544 1015.650 61.854 -80.032 1040.416 54.046 -80.886 1049.810 35.868 -80.276 1098.122 31.964 -73.810 1123.254 15.494 -84.790 1127.158 34.526 -88.328 1098.976 63.928 -76.494 1058.594 73.688 -76.006 983.564 80.642 -69.296 934.642 81.862 -63.440 912.438 78.202 -72.834 928.908 75.152 -79.056 975.756 64.782 -84.912 1009.306 42.212 -87.230 1032.974
35.014 -87.108 1099.952 71.248 -65.758 1059.082 80.154 -57.462 1031.510 105.652 -44.408 982.466 103.334 -48.434 961.238 83.448 -59.536 962.336 64.538 -73.322 978.684 46.482 -83.936 1013.088 51.118 -83.814 1032.974 57.828 -82.106 1051.640 51.606 -87.474 1087.996 45.018 -91.012 1107.638 47.336 -82.960 1092.022 62.464 -77.958 1032.974 87.230 -62.342 993.690 95.526 -59.658 980.026 81.740 -69.174 978.928 68.320 -76.860 984.052 68.442 -81.008 1008.696 75.396 -80.032 1031.754 69.784 -79.178 1073.356 59.414 -78.812 1076.528 54.656 -75.884 1048.956 65.026 -66.856 1023.702 75.762 -62.220 989.420 82.472 -59.536 980.514 83.814 -56.608 976.976 72.468 -60.756 999.790 68.564 -64.904 1037.244 54.290 -71.248 1052.860 57.584 -67.344 1063.352 68.198 -63.440 1063.718
72.224 -71.004 999.424 88.450 -65.392 986.736 83.326 -68.442 986.004 70.516 -76.372 1007.354 50.752 -83.692 1032.608 34.038 -89.914 1047.492 43.188 -85.766 1052.128 60.024 -74.420 1031.632 65.270 -65.758 1016.138 76.372 -57.950 1013.698 91.134 -48.068 1009.062 78.934 -51.484 1020.164 74.908 -59.902 1011.746 63.318 -64.782 1038.220 54.656 -70.516 1047.492 46.482 -77.836 1045.540 48.922 -78.446 1032.242 59.780 -71.736 1022.848 66.002 -71.614 1009.550 64.904 -70.150 1000.644 82.228 -62.464 991.128 62.098 -67.954 1005.524 53.314 -73.322 1009.062 54.412 -71.370 1031.266 59.902 -70.028 1035.292 63.196 -65.880 1036.634 63.440 -65.880 1031.632 67.222 -66.490 1040.050 57.340 -72.346 1041.514 55.266 -76.616 1045.540 55.022 -76.128 1054.934 53.192 -76.982 1047.980
52.094 -71.736 1024.800 54.778 -70.516 1003.816 51.362 -63.928 1003.328 56.364 -59.780 985.882 55.022 -59.292 976.976 65.880 -55.144 970.998 55.998 -56.364 994.910 56.852 -56.364 1011.014 58.438 -57.950 1024.800 58.194 -58.072 1040.416 50.508 -64.050 1051.030 43.676 -69.418 1062.010 44.774 -74.298 1062.986 44.530 -75.640 1060.058 49.776 -75.030 1051.884 52.826 -77.714 1035.780 48.922 -74.542 1006.988 60.146 -66.246 995.032 71.858 -59.048 990.152 67.588 -59.902 991.494 57.462 -69.540 998.082 54.656 -69.540 1007.598 50.752 -71.004 1021.384 53.314 -70.150 1023.580 51.484 -69.418 1030.412 44.042 -71.004 1037.976 48.556 -66.612 1050.664 57.218 -63.806 1046.638 65.148 -59.292 1043.588 67.466 -58.316 1040.172 64.294 -50.508 1047.858 55.022 -69.784 1034.560
