-3997.208 3997.208 1056.520 -1.220 -19.764 1024.190 -1.464 -19.642 1024.312 -0.732 -19.032 1024.678 -0.976 -19.032 1024.190 -1.586 -19.642 1023.580 -0.854 -19.520 1024.312 -0.976 -19.032 1023.824 -1.586 -19.764 1023.458 -1.342 -19.520 1024.312 -0.732 -18.422 1024.312 -1.464 -19.520 1023.946 -1.464 -19.886 1024.068 -1.098 -19.276 1024.434 -1.098 -19.032 1024.678 -1.708 -20.130 1024.190 -1.342 -19.642 1024.556 -1.342 -18.666 1024.068 -1.342 -19.642 1023.702 -1.586 -19.032 1024.556 -0.976 -19.276 1024.556 -1.708 -19.764 1023.824 -1.342 -19.642 1023.824 -1.830 -18.910 1024.678 -1.220 -19.398 1024.434 -1.708 -19.154 1025.044 -1.220 -19.276 1024.800 -1.220 -19.886 1023.946 -1.098 -19.276 1024.190 -1.586 -19.032 1024.556 -1.464 -19.154 1025.776 -1.586 -19.276 1024.190 -1.586 -19.520 1024.068 -1.220 -18.666 1024.068 -1.586 -19.398 1024.068 -2.074 -19.276 1025.044 -1.098 -18.910 1024.922 -1.342 -19.520 1025.044 -1.586 -20.008 1024.434 -1.342 -19.398 1024.190 -1.220 -19.520 1025.410 -1.098 -19.398 1024.922 -1.342 -19.154 1025.044 -0.976 -19.276 1024.556 -1.464 -19.520 1025.044 -1.952 -19.520 1024.922 -1.342 -19.154 1024.434 -1.708 -18.910 1025.166 -1.952 -19.398 1024.434 -1.342 -19.764 1024.434 -0.976 -19.276 1025.654 -1.586 -19.032 1024.922 -1.342 -20.008 1024.312 -1.586 -19.276 1024.800 -1.342 -18.788 1025.288 -1.586 -19.520 1025.044 -0.976 -19.642 1024.800 -1.464 -19.642 1024.190 -1.098 -19.276 1025.288 -1.830 -19.398 1024.678 -0.732 -18.910 1024.312 -1.586 -19.154 1025.166 -1.464 -18.788 1025.776 -1.342 -19.886 1024.922
 -1.586 -19.520 1025.044 -1.220 -18.544 1025.044 -1.830 -20.740 1024.922 -1.708 -19.764 1024.434 -0.976 -18.666 1025.166 -1.464 -19.032 1025.532 -1.952 -19.642 1025.166 -1.586 -19.276 1024.800 -1.464 -19.032 1024.312 -1.952 -20.008 1024.556 -1.586 -19.520 1024.922 -1.586 -19.032 1025.898 -1.830 -19.276 1024.800 -1.708 -20.130 1024.678 -1.342 -19.032 1025.166 -1.098 -19.032 1024.922 -1.586 -19.642 1025.288 -1.220 -19.154 1025.044 -1.220 -19.520 1025.166 -1.708 -19.154 1024.800 -1.342 -19.276 1024.556 -1.342 -19.032 1025.044 -1.464 -18.666 1024.922 -1.830 -19.886 1024.678 -1.464 -19.764 1024.800 -0.854 -18.910 1025.410 -1.464 -19.520 1024.922 -1.586 -20.252 1024.312 -0.732 -19.276 1024.922 -1.464 -18.666 1024.434 -1.708 -19.520 1023.824 -1.342 -19.276 1025.166 -1.708 -18.666 1025.288 -1.342 -19.642 1024.434 -1.342 -19.398 1025.288 -1.220 -19.032 1024.922 -1.342 -19.642 1024.068 -1.952 -19.398 1024.800 -1.342 -19.154 1024.922 -1.098 -19.398 1025.288 -1.098 -18.910 1024.434 -0.976 -19.642 1024.556 -1.708 -19.398 1024.312 -1.586 -18.910 1024.922 -1.586 -19.642 1025.532 -1.464 -19.520 1025.044 -1.464 -19.764 1024.312 -1.342 -19.520 1024.922 -1.342 -19.398 1023.946 -0.854 -19.642 1025.532 -1.708 -18.422 1025.898 -1.220 -19.520 1024.556 -1.830 -19.642 1024.922 -1.708 -18.910 1025.044 -1.464 -19.520 1025.288 -1.830 -19.398 1025.288 -1.708 -18.788 1024.800 -1.586 -19.520 1024.800 -1.952 -19.276 1025.410 -1.586 -19.154 1024.922 -1.342 -19.276 1025.044 -1.952 -19.642 1024.434 -1.464 -19.520 1024.922 -1.098 -19.398 1025.288
 -1.586 -18.910 1024.190 -1.464 -19.642 1024.556 -1.952 -18.910 1025.776 -1.220 -19.764 1024.678 -1.830 -20.374 1024.312 -1.708 -19.032 1024.678 -1.098 -19.398 1024.922 -1.708 -19.886 1025.410 -1.708 -18.910 1024.434 -1.098 -19.642 1023.702 -1.708 -18.910 1025.044 -2.074 -19.398 1024.434 -1.586 -19.520 1025.898 -2.196 -18.544 1025.654 -1.098 -19.764 1023.580 -1.220 -19.276 1024.800 -1.342 -18.910 1025.532 -0.732 -19.520 1024.800 -2.440 -20.130 1025.776 -2.196 -18.300 1024.800 -1.220 -19.398 1024.312 -1.830 -19.642 1024.800 -1.220 -19.276 1025.044 -1.098 -18.910 1025.166 -2.074 -19.642 1024.556 -1.830 -19.520 1025.044 -1.098 -19.154 1024.922 -1.464 -19.398 1025.044 -1.586 -19.398 1024.190 -1.220 -19.642 1025.044 -1.952 -19.154 1025.166 -0.732 -19.520 1023.946 -1.708 -19.276 1025.532 -1.708 -19.276 1024.068 -0.610 -19.520 1024.556 -1.708 -19.032 1025.166 -1.098 -19.642 1024.068 -0.610 -18.788 1024.556 -2.074 -19.032 1025.288 -0.976 -19.276 1024.190 -1.342 -19.154 1024.922 -1.220 -19.032 1024.434 -1.830 -20.008 1024.068 -2.074 -19.154 1025.532 -1.708 -18.544 1025.532 -0.976 -19.886 1024.678 -2.440 -19.032 1025.166 -1.098 -19.764 1023.580 -1.464 -19.520 1025.044 -1.586 -19.398 1025.166 -0.610 -19.642 1024.556 -1.342 -18.910 1024.678 -1.464 -19.398 1024.190 -0.976 -19.398 1024.556 -1.830 -19.154 1024.800 -1.586 -19.032 1024.678 -1.220 -19.398 1024.922 -1.464 -18.788 1025.654 -1.464 -19.276 1024.312 -1.098 -20.008 1024.922 -1.342 -19.032 1025.410 -1.464 -18.788 1025.654 -1.464 -19.520 1024.434 -1.830 -19.764 1024.800
 -1.098 -19.398 1025.288 -1.220 -19.520 1024.556 -1.220 -19.398 1024.434 -1.220 -19.520 1024.800 -1.952 -19.154 1024.556 -1.586 -19.276 1025.288 -1.464 -18.910 1024.922 -1.586 -19.520 1023.824 -0.732 -19.764 1025.044 -1.708 -18.544 1025.898 -1.220 -19.276 1024.312 -1.708 -19.520 1025.532 -1.342 -19.520 1024.678 -0.366 -19.398 1024.556 -2.318 -19.154 1025.044 -0.976 -19.032 1024.800 -1.098 -19.276 1025.166 -1.464 -19.276 1024.678 -1.220 -20.008 1024.556 -1.708 -18.422 1025.532 -1.220 -19.032 1025.166 -1.464 -19.520 1025.166 -0.976 -19.154 1025.044 -1.220 -19.642 1024.556 -1.220 -19.276 1024.068 -1.342 -19.642 1024.678 -1.586 -19.276 1025.166 -1.220 -18.910 1024.922 -1.952 -19.764 1024.800 -1.220 -19.398 1025.044 -0.976 -19.398 1025.044 -1.342 -19.520 1024.922 -1.098 -19.154 1025.166 -1.098 -19.276 1024.922 -1.342 -19.520 1024.434 -1.220 -19.886 1023.946 -1.220 -18.910 1024.556 -1.098 -19.276 1023.946 -1.220 -19.886 1024.922 -0.976 -19.276 1025.044 -0.976 -19.642 1023.824 -1.586 -19.276 1024.434 -1.098 -18.544 1025.654 -1.220 -19.642 1024.556 -0.732 -20.008 1023.824 -1.586 -19.520 1024.556 -0.732 -19.398 1024.922 -1.098 -19.764 1025.166 -1.220 -19.642 1025.166 -0.732 -19.398 1025.532 -0.854 -19.642 1023.580 -1.220 -19.642 1023.336 -1.220 -19.520 1024.800 -0.732 -18.666 1025.410 -0.976 -19.276 1024.922 -1.586 -20.374 1024.678 -1.098 -19.398 1024.800 -1.098 -19.520 1024.190 -1.830 -20.130 1024.678 -1.220 -18.788 1026.142 -0.976 -18.666 1024.800 -1.220 -20.374 1023.946 -1.952 -19.764 1024.312 -0.976 -19.398 1024.068
 -0.854 -20.374 1023.702 -1.464 -19.032 1024.800 -1.464 -19.154 1025.532 -1.220 -19.642 1024.678 -1.220 -19.642 1024.556 -0.732 -19.520 1024.068 -1.098 -20.130 1024.068 -1.220 -18.910 1025.166 -0.976 -19.032 1024.434 -1.586 -19.398 1024.312 -1.342 -19.886 1024.800 -1.464 -19.520 1024.556 -0.854 -19.520 1024.556 -1.098 -19.520 1024.312 -1.342 -19.032 1024.190 -0.976 -18.910 1025.410 -0.976 -19.886 1024.556 -1.464 -19.520 1023.824 -1.220 -19.642 1025.532 -1.220 -19.276 1024.312 -1.342 -19.032 1024.434 -0.610 -19.154 1024.678 -1.098 -19.520 1023.702 -2.318 -19.886 1024.678 -0.122 -19.520 1024.312 -1.586 -19.886 1023.946 -1.586 -18.788 1025.288 -1.342 -19.764 1024.190 -1.098 -18.666 1024.800 -0.366 -20.130 1024.312 -1.708 -20.130 1024.190 -0.732 -18.910 1024.800 -0.976 -19.520 1024.068 -1.830 -20.008 1025.410 -0.976 -19.520 1024.922 -0.854 -19.032 1024.556 -2.318 -20.008 1024.800 -0.976 -20.008 1024.312 -0.610 -19.276 1024.434 -1.098 -19.520 1025.044 -0.976 -19.520 1024.800 -0.366 -19.398 1024.678 -1.098 -19.032 1024.800 -1.098 -19.154 1024.678 -1.098 -20.130 1024.556 -1.464 -19.642 1024.800 -1.342 -19.398 1024.922 -1.586 -20.252 1024.312 -0.488 -19.520 1024.434 -1.098 -19.154 1024.434 -1.098 -19.886 1025.044 -0.732 -19.398 1025.044 -1.586 -18.788 1024.922 -1.220 -19.886 1024.556 -1.098 -19.764 1024.434 -0.976 -19.886 1024.190 -1.342 -17.934 1025.776 -0.976 -20.252 1024.922 -1.098 -20.130 1024.556 -1.220 -18.910 1024.556 -1.220 -20.008 1024.800 -1.098 -19.520 1024.800 -1.830 -19.520 1024.678 -1.464 -18.910 1025.044
 -1.098 -19.154 1025.044 -0.854 -20.130 1024.434 -1.952 -19.154 1025.044 -0.732 -19.276 1025.166 -0.976 -19.764 1024.190 -1.220 -19.154 1025.166 -0.854 -19.398 1024.922 -0.610 -19.764 1024.678 -1.708 -19.154 1024.678 -1.220 -19.520 1024.190 -1.098 -20.008 1025.288 -1.708 -19.154 1025.044 -0.854 -19.642 1024.556 -1.220 -19.398 1024.922 -1.708 -19.764 1024.556 -0.732 -19.520 1024.800 -1.464 -19.032 1024.312 -0.976 -19.520 1024.556 -1.098 -19.398 1024.556 -0.976 -18.910 1025.044 -0.854 -19.398 1024.678 -1.464 -19.886 1024.434 -0.854 -18.910 1024.800 -1.220 -19.154 1024.556 -0.976 -19.886 1024.922 -0.854 -19.154 1024.556 -1.464 -19.276 1024.556 -0.976 -20.130 1023.946 -0.976 -19.398 1024.678 -1.098 -19.764 1024.434 -1.220 -20.130 1024.678 -0.976 -18.178 1024.922 -0.732 -19.276 1024.678 -1.220 -19.886 1024.556 -0.854 -19.398 1024.190 -1.464 -19.520 1024.312 -1.586 -19.764 1025.166 -1.098 -19.032 1025.288 -0.976 -19.398 1025.166 -1.220 -20.008 1025.044 -1.342 -19.154 1024.800 -0.976 -19.276 1024.556 -0.732 -19.764 1024.922 -1.464 -19.154 1024.800 -1.586 -19.520 1024.312 -1.098 -19.886 1024.312 -0.976 -19.276 1024.800 -1.464 -19.520 1024.434 -0.854 -19.764 1024.800 -0.854 -19.520 1024.922 -1.342 -19.276 1024.800 -1.220 -19.886 1024.556 -0.732 -18.910 1024.556 -1.098 -19.032 1025.166 -0.976 -19.642 1024.556 -0.854 -19.398 1025.288 -1.220 -19.276 1024.556 -1.342 -19.764 1023.946 -0.732 -19.276 1024.800 -0.732 -19.398 1024.434 -1.464 -19.398 1024.678 -1.464 -19.154 1024.922 -1.098 -19.642 1024.556 -1.708 -19.886 1024.678
 -0.976 -19.520 1024.678 -0.732 -19.886 1024.800 -0.976 -18.788 1024.678 -1.342 -19.642 1024.312 -0.732 -19.764 1024.922 -1.220 -19.032 1024.800 -1.342 -19.398 1024.190 -0.732 -20.130 1024.190 -1.464 -19.276 1024.190 -1.098 -19.154 1024.556 -0.854 -19.398 1024.312 -1.098 -19.276 1024.678 -0.976 -19.398 1024.678 -1.708 -19.520 1024.312 -1.220 -19.764 1024.312 -1.342 -19.398 1025.044 -1.464 -20.008 1024.556 -1.342 -19.642 1024.312 -0.366 -19.520 1024.556 -1.586 -19.520 1024.434 -1.708 -19.520 1024.312 -1.098 -19.398 1025.044 -1.464 -19.520 1024.678 -1.220 -19.520 1024.556 -0.488 -19.764 1024.434 -1.098 -19.276 1024.678 -0.854 -19.520 1024.556 -1.342 -18.910 1024.800 -1.830 -19.886 1024.800 -0.854 -19.642 1024.556 -1.464 -18.910 1024.800 -1.464 -19.398 1024.556 -1.342 -19.642 1024.800 -1.220 -19.276 1024.800 -1.220 -19.032 1024.312 -1.830 -19.642 1024.434 -1.220 -19.398 1024.556 -1.342 -19.032 1024.434 -1.342 -19.886 1025.044 -0.488 -19.642 1024.068 -0.976 -19.764 1024.678 -1.342 -19.154 1024.678 -1.220 -19.642 1024.434 -0.732 -19.276 1025.166 -1.098 -19.398 1024.922 -0.488 -19.764 1024.190 -1.220 -19.154 1024.434 -1.830 -19.154 1024.800 -0.976 -19.276 1024.556 -2.074 -19.032 1025.288 -1.220 -19.520 1024.800 -1.220 -19.642 1025.044 -0.976 -19.642 1024.190 -0.976 -19.398 1024.678 -1.220 -19.520 1025.654 -1.220 -19.154 1024.678 -1.342 -19.520 1024.556 -1.220 -19.398 1024.678 -0.854 -19.398 1024.556 -1.464 -19.642 1024.922 -1.220 -19.886 1024.922 -0.610 -19.032 1024.556 -1.098 -19.764 1024.312 -0.976 -19.764 1024.678
 -0.976 -19.642 1024.556 -0.732 -19.398 1024.556 -1.098 -19.642 1024.678 -1.220 -19.642 1024.922 -1.342 -19.642 1024.556 -0.976 -19.032 1024.678 -0.976 -19.642 1023.946 -0.854 -20.008 1024.190 -1.098 -19.276 1024.556 -1.342 -19.642 1024.800 -0.976 -19.276 1024.678 -0.854 -19.398 1024.678 -0.854 -20.008 1024.312 -0.732 -19.764 1024.678 -1.098 -19.520 1024.800 -0.976 -19.520 1024.800 -1.342 -19.520 1025.166 -1.220 -19.642 1024.678 -1.098 -19.520 1024.434 -1.586 -19.520 1024.556 -1.098 -19.276 1024.678 -0.854 -19.520 1025.044 -1.098 -19.276 1024.678 -1.220 -19.520 1024.434 -0.976 -19.520 1024.434 -0.488 -19.276 1024.312 -1.464 -19.398 1024.678 -1.220 -19.398 1024.312 -0.854 -18.666 1024.556 -1.464 -19.520 1025.044 -0.976 -19.764 1025.044 -0.976 -19.642 1024.678 -1.098 -19.032 1024.678 -1.342 -19.764 1024.800 -0.854 -19.276 1023.946 -0.976 -19.276 1024.434 -1.220 -19.886 1024.800 -1.220 -19.520 1024.800 -1.342 -19.764 1024.556 -1.098 -19.398 1024.800 -0.976 -19.032 1025.776 -0.854 -19.154 1024.312 -0.976 -20.252 1023.702 -1.342 -18.056 1026.874 -0.488 -19.764 1022.116 -0.976 -20.618 1024.922 -1.220 -18.422 1025.288 -0.488 -19.520 1023.824 -1.342 -19.764 1024.800 -1.342 -19.764 1024.190 -0.244 -18.788 1024.312 -1.464 -19.642 1025.288 -0.976 -19.520 1024.678 -0.854 -18.788 1024.800 -1.098 -19.642 1025.410 -0.732 -19.520 1024.556 -1.830 -18.544 1025.044 -0.732 -19.886 1024.312 -0.610 -19.276 1024.800 -1.586 -18.788 1024.678 -0.976 -20.374 1024.190 -1.464 -18.788 1025.166 -0.976 -19.398 1025.532 -0.854 -19.764 1025.166
 -0.976 -19.276 1024.678 -1.220 -19.520 1025.044 -0.732 -19.520 1024.800 -1.342 -19.398 1025.410 -0.244 -19.520 1024.922 -1.586 -19.032 1025.410 -1.708 -19.520 1024.922 -0.488 -19.642 1024.556 -0.854 -19.032 1025.044 -1.586 -19.764 1024.800 -1.464 -19.398 1025.410 -1.220 -19.032 1024.800 -0.854 -19.398 1025.044 -1.342 -19.398 1025.288 -0.366 -20.008 1025.044 -0.732 -19.276 1025.410 -1.830 -19.398 1025.288 -0.732 -19.520 1024.434 -1.098 -19.032 1024.678 -1.098 -20.130 1024.312 -1.464 -19.764 1025.654 -1.830 -18.788 1027.362 -1.098 -19.764 1022.970 -0.122 -20.374 1025.532 -1.586 -17.934 1023.946 -0.732 -19.886 1024.556 -1.098 -19.154 1026.386 -1.708 -18.910 1024.434 -1.708 -21.106 1024.800 -2.074 -19.642 1024.678 -0.732 -19.398 1024.922 -0.244 -19.520 1025.044 -2.196 -19.276 1024.556 -0.366 -19.886 1024.678 -0.976 -19.032 1025.166 -1.098 -19.520 1024.678 -0.976 -20.252 1024.068 -1.586 -19.398 1025.166 -0.854 -19.032 1024.190 -1.098 -19.642 1024.800 -1.098 -19.764 1025.532 -0.854 -19.520 1024.556 -1.220 -19.520 1024.800 -1.098 -19.764 1024.800 -1.464 -19.520 1024.922 -0.854 -19.520 1024.556 -1.098 -20.252 1024.068 -1.342 -19.642 1024.800 -0.854 -18.178 1024.800 -1.830 -20.618 1025.166 -0.976 -19.886 1024.556 -0.488 -18.666 1024.556 -1.586 -20.130 1023.824 -1.464 -19.886 1024.312 -1.464 -18.544 1025.044 -1.220 -20.374 1024.678 -1.586 -20.374 1024.190 -1.586 -18.788 1024.800 -0.610 -20.008 1024.434 -1.464 -19.886 1024.922 -1.098 -18.666 1024.800 -0.976 -19.764 1023.946 -1.464 -19.886 1023.824 -0.854 -19.520 1024.312
 -1.220 -20.130 1024.190 -1.342 -19.032 1024.434 -1.220 -19.276 1024.556 -0.854 -19.886 1024.556 -1.098 -19.154 1024.556 -0.976 -19.764 1024.800 -1.098 -19.642 1023.702 -1.464 -19.520 1024.678 -1.342 -19.886 1024.190 -1.464 -19.276 1025.532 -1.342 -19.886 1024.800 -1.220 -20.008 1024.190 -1.098 -19.886 1024.312 -0.488 -19.398 1024.678 -0.976 -19.398 1023.946 -1.464 -19.032 1024.678 -0.976 -19.886 1024.800 -0.854 -19.520 1024.556 -0.488 -20.008 1024.068 -1.220 -19.398 1024.434 -1.220 -19.398 1025.288 -1.220 -19.276 1025.166 -1.220 -19.398 1024.434 -0.488 -19.642 1023.946 -0.244 -19.398 1024.190 -1.220 -19.154 1024.190 -1.708 -19.520 1024.556 -0.122 -19.642 1023.824 -1.098 -18.910 1024.678 -1.220 -19.154 1023.946 -0.854 -19.886 1024.556 -0.366 -19.154 1024.312 -1.098 -19.276 1025.166 -1.220 -19.520 1025.166 -0.732 -19.154 1024.190 -1.098 -19.642 1023.702 -1.220 -19.520 1024.312 -1.098 -18.910 1025.166 -0.610 -19.642 1025.288 -1.342 -19.886 1025.288 -0.976 -19.276 1024.800 -0.976 -19.398 1024.434 -1.342 -19.276 1024.556 -0.854 -20.008 1024.312 -0.610 -19.520 1024.312 -1.708 -19.032 1024.922 -0.732 -19.520 1024.068 -1.586 -19.764 1024.312 -1.342 -19.520 1024.434 -1.098 -19.276 1024.678 -1.342 -19.398 1024.556 -0.976 -19.398 1024.434 -1.708 -19.032 1025.532 -2.074 -19.032 1025.776 -0.244 -19.398 1023.458 -0.244 -20.374 1023.580 -1.708 -18.666 1025.288 -1.098 -19.276 1025.166 -0.976 -19.886 1024.190 -2.074 -19.398 1025.288 -0.610 -19.398 1024.556 -0.854 -19.154 1024.434 -1.586 -19.764 1025.532 -0.854 -19.886 1024.678
